id,category,description,hsn_sac,hsn_sac_type,suggested_gst,keywords
1,Software Development,Custom software development,998314,SAC,18,"custom software,software development,application development"
2,Software Development,Web application development,998314,SAC,18,"web app,web application,website development"
3,Software Development,Mobile application development,998314,SAC,18,"mobile app,android app,ios app,mobile development"
4,Software Development,Backend application development,998314,SAC,18,"backend,server side,backend development"
5,Software Development,Frontend application development,998314,SAC,18,"frontend,frontend development,react,angular,vue"
6,Software Development,API development and integration,998314,SAC,18,"api,rest api,api development,integration"
7,Software Development,Microservices development,998314,SAC,18,"microservices,service architecture"
8,Software Development,Enterprise application development,998314,SAC,18,"enterprise software,enterprise application"
9,Software Development,SaaS application development,998314,SAC,18,"saas,software as a service,cloud application"
10,Software Development,ERP customization and development,998314,SAC,18,"erp,erp customization,erp development"
11,Software Development,CRM customization and development,998314,SAC,18,"crm,crm customization,crm development"
12,Software Development,E-commerce application development,998314,SAC,18,"ecommerce,online store,ecommerce development"
13,Software Development,Portal development,998314,SAC,18,"portal,customer portal,employee portal"
14,Software Development,Database application development,998314,SAC,18,"database application,database development"
15,Software Development,Software customization,998314,SAC,18,"customization,software customization"
16,Software Development,Software enhancement,998314,SAC,18,"enhancement,feature enhancement,software upgrade"
17,Software Development,Legacy application modernization,998314,SAC,18,"legacy modernization,modernization,legacy application"
18,Software Development,Software migration development,998314,SAC,18,"software migration,application migration"
19,Software Development,Integration solution development,998314,SAC,18,"system integration,integration solution"
20,Software Development,Automation solution development,998314,SAC,18,"automation,workflow automation,process automation"
21,IT Consulting,IT consulting services,998313,SAC,18,"it consulting,technology consulting"
22,IT Consulting,Technology architecture consulting,998313,SAC,18,"architecture,solution architecture,technology architecture"
23,IT Consulting,Software architecture consulting,998313,SAC,18,"software architecture,application architecture"
24,IT Consulting,Cloud architecture consulting,998313,SAC,18,"cloud architecture,cloud consulting"
25,IT Consulting,Digital transformation consulting,998313,SAC,18,"digital transformation,transformation consulting"
26,IT Consulting,Technology strategy consulting,998313,SAC,18,"technology strategy,it strategy"
27,IT Consulting,IT solution design consulting,998313,SAC,18,"solution design,it solution"
28,IT Consulting,Technical feasibility analysis,998313,SAC,18,"feasibility,technical feasibility,technical analysis"
29,IT Consulting,Technology assessment,998313,SAC,18,"technology assessment,technical assessment"
30,IT Consulting,System architecture review,998313,SAC,18,"architecture review,system review"
31,IT Consulting,IT implementation consulting,998313,SAC,18,"implementation consulting,it implementation"
32,IT Consulting,Technical advisory services,998313,SAC,18,"technical advisory,technical advice"
33,IT Consulting,IT project advisory,998313,SAC,18,"project advisory,it advisory"
34,IT Consulting,Software selection consulting,998313,SAC,18,"software selection,product selection"
35,IT Consulting,Cloud migration consulting,998313,SAC,18,"cloud migration,migration consulting"
36,UI UX,UI design services,998314,SAC,18,"ui design,user interface,interface design"
37,UI UX,UX design services,998314,SAC,18,"ux design,user experience,ux"
38,UI UX,UX research services,998314,SAC,18,"ux research,user research"
39,UI UX,Wireframe design,998314,SAC,18,"wireframe,wireframes,wireframe design"
40,UI UX,Prototype design,998314,SAC,18,"prototype,prototyping,ui prototype"
41,UI UX,Design system development,998314,SAC,18,"design system,component library,ui system"
42,UI UX,Web interface design,998314,SAC,18,"web design,website ui,web interface"
43,UI UX,Mobile interface design,998314,SAC,18,"mobile ui,mobile interface"
44,UI UX,UX usability testing,998314,SAC,18,"usability testing,ux testing"
45,UI UX,Product interface design,998314,SAC,18,"product design,product ui"
46,QA Testing,Software testing services,998314,SAC,18,"software testing,qa,testing"
47,QA Testing,Functional testing,998314,SAC,18,"functional testing,functional qa"
48,QA Testing,Regression testing,998314,SAC,18,"regression testing,regression"
49,QA Testing,Integration testing,998314,SAC,18,"integration testing"
50,QA Testing,API testing,998314,SAC,18,"api testing,rest testing"
51,QA Testing,Performance testing,998314,SAC,18,"performance testing,load testing"
52,QA Testing,Automation testing,998314,SAC,18,"test automation,automated testing"
53,QA Testing,Mobile application testing,998314,SAC,18,"mobile testing,android testing,ios testing"
54,QA Testing,Web application testing,998314,SAC,18,"web testing,browser testing"
55,QA Testing,User acceptance testing support,998314,SAC,18,"uat,user acceptance testing"
56,QA Testing,Quality assurance consulting,998313,SAC,18,"qa consulting,quality assurance consulting"
57,DevOps,DevOps engineering services,998316,SAC,18,"devops,devops engineering"
58,DevOps,CI CD pipeline development,998314,SAC,18,"ci cd,continuous integration,continuous deployment"
59,DevOps,Build automation development,998314,SAC,18,"build automation,build pipeline"
60,DevOps,Deployment automation,998314,SAC,18,"deployment automation,release automation"
61,DevOps,Infrastructure automation,998316,SAC,18,"infrastructure automation,iac,terraform"
62,DevOps,Infrastructure management,998316,SAC,18,"infrastructure management,it infrastructure"
63,DevOps,Network management,998316,SAC,18,"network management,network administration"
64,DevOps,System administration,998316,SAC,18,"system administration,server administration"
65,DevOps,Cloud infrastructure provisioning,998315,SAC,18,"cloud provisioning,cloud infrastructure"
66,DevOps,Cloud hosting services,998315,SAC,18,"cloud hosting,hosting"
67,DevOps,Container orchestration management,998316,SAC,18,"kubernetes,containers,container orchestration"
68,DevOps,Monitoring and infrastructure management,998316,SAC,18,"infrastructure monitoring,server monitoring"
69,DevOps,Release management automation,998314,SAC,18,"release management,release automation"
70,DevOps,DevSecOps implementation,998316,SAC,18,"devsecops,secure devops"
71,Data ML,Data engineering services,998314,SAC,18,"data engineering,data pipelines,etl"
72,Data ML,ETL pipeline development,998314,SAC,18,"etl,etl pipeline,data pipeline"
73,Data ML,Data warehouse development,998314,SAC,18,"data warehouse,warehouse development"
74,Data ML,Database engineering,998314,SAC,18,"database engineering,database development"
